Aggregate Iteration	Accuracy	F1-Score	Precision	Recall	Cross Validation Score	All Star Team Victory Count	Challenger Team Victory Count	Tie Count
0	0.6666666666666666	0.7368421052631579	0.6086956521739131	0.9333333333333333	1.0	50	0	0
1	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
2	0.5666666666666667	0.6976744186046512	0.5357142857142857	1.0	1.0	50	0	0
3	0.6166666666666667	0.6568627450980392	0.5950292397660819	0.7333333333333333	1.0	50	0	0
4	0.7	0.7692307692307693	0.625	1.0	1.0	50	0	0
5	0.8	0.8333333333333334	0.7142857142857143	1.0	1.0	50	0	0
6	0.6	0.6	0.6	0.6	1.0	50	0	0
7	0.7	0.7692307692307693	0.625	1.0	1.0	50	0	0
8	0.6833333333333333	0.7596153846153846	0.6125	1.0	1.0	50	0	0
9	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
10	0.6333333333333333	0.7027027027027027	0.5909090909090909	0.8666666666666667	1.0	50	0	0
11	0.8	0.8333333333333334	0.7142857142857143	1.0	1.0	50	0	0
12	0.8	0.8333333333333334	0.7142857142857143	1.0	1.0	50	0	0
13	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
14	0.7666666666666667	0.8108108108108109	0.6818181818181818	1.0	1.0	50	0	0
15	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
16	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
17	0.7666666666666667	0.8108108108108109	0.6818181818181818	1.0	1.0	50	0	0
18	0.23333333333333334	0.0	0.0	0.0	1.0	0	50	0
19	0.7666666666666667	0.8108108108108109	0.6818181818181818	1.0	1.0	50	0	0
20	0.7666666666666667	0.8108108108108109	0.6818181818181818	1.0	1.0	50	0	0
21	0.6666666666666666	0.75	0.6	1.0	1.0	50	0	0
22	0.8	0.8333333333333334	0.7142857142857143	1.0	1.0	50	0	0
23	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
24	0.26666666666666666	0.08333333333333333	0.1111111111111111	0.06666666666666667	1.0	0	50	0
25	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	1.0	6	39	5
26	0.6666666666666666	0.7368421052631579	0.6086956521739131	0.9333333333333333	1.0	50	0	0
27	0.7	0.7692307692307693	0.625	1.0	1.0	50	0	0
28	0.45	0.45913978494623653	0.45208333333333334	0.4666666666666667	1.0	2	44	4
29	0.23333333333333334	0.0	0.0	0.0	1.0	0	50	0
30	0.8333333333333334	0.8571428571428571	0.75	1.0	1.0	50	0	0
31	0.7	0.7428571428571429	0.65	0.8666666666666667	1.0	50	0	0
32	0.43333333333333335	0.45161290322580644	0.4375	0.4666666666666667	1.0	2	46	2
33	0.6666666666666666	0.7368421052631579	0.6086956521739131	0.9333333333333333	1.0	50	0	0
34	0.7666666666666667	0.8108108108108109	0.6818181818181818	1.0	1.0	50	0	0
35	0.5	0.4827586206896552	0.5	0.4666666666666667	1.0	12	31	7
36	0.6833333333333333	0.7596153846153846	0.6125	1.0	1.0	50	0	0
37	0.6666666666666666	0.7368421052631579	0.6086956521739131	0.9333333333333333	1.0	50	0	0
38	0.6666666666666666	0.7222222222222222	0.6190476190476191	0.8666666666666667	1.0	50	0	0
39	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
40	0.43333333333333335	0.41379310344827586	0.42857142857142855	0.4	1.0	0	50	0
41	0.75	0.8001422475106685	0.6669960474308301	1.0	1.0	50	0	0
42	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
43	0.6	0.625	0.5882352941176471	0.6666666666666666	1.0	50	0	0
44	0.26666666666666666	0.08333333333333333	0.1111111111111111	0.06666666666666667	1.0	0	50	0
45	0.23333333333333334	0.0	0.0	0.0	1.0	0	50	0
46	0.7666666666666667	0.8108108108108109	0.6818181818181818	1.0	1.0	50	0	0
47	0.5333333333333333	0.6111111111111112	0.5238095238095238	0.7333333333333333	1.0	50	0	0
48	0.7333333333333333	0.7894736842105263	0.6521739130434783	1.0	1.0	50	0	0
49	0.7666666666666667	0.8108108108108109	0.6818181818181818	1.0	1.0	50	0	0
